Name,Sequence Cluster,Serotype
ERS044138,16,3
ERS070071,16,3
ERS070103,16,3
ERS043897,16,3
ERS043903,16,3
ERS043920,16,3
ERS043995,16,3
ERS044007,16,3
ERS044022,16,3
ERS044078,16,14
ERS044112,16,14
ERS044122,16,14
ERS044130,16,14
ERS044153,16,14
ERS044035,16,14
ERS044036,16,14
ERS070001,16,21
ERS069948,16,31
ERS070026,16,31
ERS070202,16,31
ERS043854,16,31
ERS044156,16,34
ERS069929,16,34
ERS069957,16,34
ERS043868,16,34
ERS043930,16,34
ERS043981,16,34
ERS044121,16,37
ERS070042,16,37
ERS044081,16,38
ERS069931,16,38
ERS069947,16,38
ERS070015,16,38
ERS070079,16,38
ERS043866,16,38
ERS043885,16,38
ERS043953,16,38
ERS044114,16,11A
ERS044126,16,15A
ERS070135,16,15B/C
ERS069932,16,16F
ERS070072,16,16F
ERS070075,16,16F
ERS070138,16,16F
ERS070162,16,16F
ERS070180,16,16F
ERS070200,16,16F
ERS043882,16,16F
ERS070109,16,17F
ERS070143,16,17F
ERS070149,16,17F
ERS070197,16,17F
ERS043876,16,17F
ERS044045,16,18C
ERS044120,16,18C
ERS043879,16,18C
ERS043921,16,18C
ERS044001,16,18C
ERS069919,16,19A
ERS069921,16,19A
ERS069974,16,19A
ERS069975,16,19A
ERS069994,16,19A
ERS070027,16,19A
ERS070029,16,19A
ERS070093,16,19A
ERS070107,16,19A
ERS043858,16,19A
ERS043988,16,19A
ERS044043,16,19F
ERS044098,16,19F
ERS044116,16,19F
ERS044157,16,19F
ERS069936,16,19F
ERS069941,16,19F
ERS069985,16,19F
ERS069986,16,19F
ERS070097,16,19F
ERS043849,16,19F
ERS043863,16,19F
ERS043889,16,19F
ERS043928,16,19F
ERS043945,16,19F
ERS043998,16,19F
ERS044003,16,19F
ERS044029,16,19F
ERS044048,16,23F
ERS044091,16,23F
ERS044103,16,23F
ERS044127,16,23F
ERS044079,16,38
ERS070076,16,33F
ERS044095,16,33F
ERS070148,16,33F
ERS043935,16,33F
ERS043978,16,33F
ERS043844,16,35B
ERS043936,16,35B
ERS044028,16,35B
ERS044070,16,6A
ERS043847,16,6A
ERS044041,16,6B
ERS044088,16,6B
ERS044119,16,6B
ERS044125,16,6B
ERS044144,16,6B
ERS044146,16,6B
ERS044154,16,6B
ERS043859,16,6B
ERS069935,16,6C
ERS069962,16,NT
ERS070085,16,6C
ERS070121,16,6C
ERS043905,16,6C
ERS069938,16,7C
ERS070078,16,7C
ERS069955,16,7F
ERS044075,16,9N
ERS044155,16,9N
ERS070053,16,9N
ERS070117,16,9N
ERS069993,16,NT
ERS043923,16,NT
